ID,School name,City,Zipcode,Total students,English score % (proficient),Maths score% (proficient),Drop-out rate %,Total incidents of violence
1,West Phoenix High School,Phoenix,85019,418,6,2,21.99,3
2,West-Mec - Shadow Mountain High School,Phoenix,85028,1108,29,26,2.71,50
3,West-Mec - Pinnacle High School,Phoenix,85050,2480,43,32,1.38,18
4,West-Mec - Paradise Valley High School,Phoenix,85032,1872,31,18,3.4,21
5,West-Mec - North Canyon High School,Phoenix,85024,1842,25,12,2,50
6,West-Mec - Barry Goldwater High School,Phoenix,85027,1640,25,17,3.03,50
7,Westland School,Phoenix,85033,216,20,5,13.4,0
8,Western School of Science and Technology,Phoenix,85033,522,15,7,0.98,0
9,Washington High School,Phoenix,85021,1758,27,21,1.25,58
10,Vista Peak,Phoenix,85027,52,0,0,0,2
12,Trevor Browne High School,Phoenix,85033,2921,12,10,6.45,29
13,Thunderbird High School,Phoenix,85023,1540,35,27,0.63,15
15,Tech Campus,Phoenix,85017,300,5,0,30.49,0
16,Sweetwater Community School,Phoenix,85032,188,14,9,10.05,8
17,Sunnyslope High School,Phoenix,85021,2281,34,28,1.11,17
18,Southwest Leadership Academy,Phoenix,85043,196,7,0,9.5,8
20,South Ridge High School,Phoenix,85043,408,26,19,4.97,1
21,South Pointe High School,Phoenix,85042,555,10,5,23.54,0
22,South Mountain High School,Phoenix,85040,2145,12,7,5,49
23,Sonoran Science Academy - Phoenix,Phoenix,85008,380,21,10,0.73,0
24,Skyline Prep High School,Phoenix,85042,201,14,6,1.87,0
25,Shadow Mountain High School,Phoenix,85028,1108,29,26,2.71,50
28,Roadrunner School,Phoenix,85022,239,4,4,6.82,8
29,Ridgeline Academy Inc.,Phoenix,85085,1021,41,32,0.76,0
32,Premier Charter High School,Phoenix,85033,153,0,3,19.3,22
33,Precision Academy,Phoenix,85035,66,11,0,17,0
34,Pinnacle High School,Phoenix,85050,2480,43,32,1.38,18
36,Phoenix Union-Wilson College Preparatory,Phoenix,85008,218,24,18,1.25,1
37,Phoenix Union Bioscience High School,Phoenix,85004,370,48,38,0,0
39,Phoenix College Preparatory Academy,Phoenix,85013,244,47,32,0.77,0
40,Phoenix Coding Academy,Phoenix,85012,276,39,28,0,0
41,Pathways In Education,Phoenix,85006,153,5,4,17.13,0
42,Paradise Valley High School,Phoenix,85032,1872,31,18,3.4,21
43,Pan-American Charter School,Phoenix,85017,1123,23,11,23.54,0
45,Ombudsman - Charter West,Phoenix,85053,118,11,0,30.45,1
46,Ombudsman - Charter East Ii,Phoenix,85018,87,8,15,29.14,0
47,Ombudsman - Charter East,Phoenix,85018,85,0,0,20.34,0
48,North Pointe Preparatory,Phoenix,85051,435,31,14,5.13,8
49,North High School,Phoenix,85014,2135,14,10,6.51,27
51,North Canyon High School,Phoenix,85024,1842,25,12,2,50
52,Nfl Yet College Prep Academy,Phoenix,85040,313,23,7,3.48,5
53,Mountain Pointe High School,Phoenix,85044,1713,35,21,3.18,84
54,Moon Valley High School,Phoenix,85029,1488,28,25,1.82,36
56,Metro Tech High School,Phoenix,85015,1804,28,18,0.28,4
57,Metropolitan Arts Institute,Phoenix,85007,250,49,21,0,4
58,Maryvale High School,Phoenix,85033,2795,11,7,4.45,24
60,Madison Highland Prep,Phoenix,85014,456,33,33,0,0
61,Linda Abril Educational Academy,Phoenix,85015,277,3,0,17.51,2
62,Learning Institute the,Phoenix,85014,102,0,6,3.62,0
64,Kaizen Education Foundation Dba Summit High Scool,Phoenix,85006,192,4,2,24.08,43
65,Kaizen Education Foundation Dba Quest High School,Phoenix,85042,87,5,5,29.56,0
66,Kaizen Education Foundation Dba Maya High School,Phoenix,85051,393,4,0,20.92,15
