Sequence no,School name,City,Zipcode,Arizona Ranking ,National ranking,Total students,English score % (proficient),Maths score% (proficient),Student-teacher ratio,Drop-out rate %,Total incidents of violence
1,West Phoenix High School,Phoenix,85019,237,"13,261",418,6,2,-1:1,21.99,3
2,West-Mec - Shadow Mountain High School,Phoenix,85028,N/A,N/A,1108,29,26,N/A,2.71,50
3,West-Mec - Pinnacle High School,Phoenix,85050,N/A,N/A,2480,43,32,N/A,1.38,18
4,West-Mec - Paradise Valley High School,Phoenix,85032,N/A,N/A,1872,31,18,-1:1,3.4,21
5,West-Mec - North Canyon High School,Phoenix,85024,N/A,N/A,1842,25,12,-1:1,2,50
6,West-Mec - Barry Goldwater High School,Phoenix,85027,N/A,N/A,1640,25,17,N/A,3.03,50
7,Westland School,Phoenix,85033,N/A,N/A,216,20,5,-1:1,13.4,0
8,Western School of Science and Technology,Phoenix,85033,76,"4,838",522,15,7,-1:1,0.98,0
9,Washington High School,Phoenix,85021,56,"3,571",1758,27,21,N/A,1.25,58
10,Vista Peak,Phoenix,85027,N/A,N/A,52,0,0,4:1,0,2
11,Victory High School - Campus,Phoenix,85041,N/A,N/A,N/A,N/A,N/A,-1:1,N/A,N/A
12,Trevor Browne High School,Phoenix,85033,194,"10,989",2921,12,10,20.8:1,6.45,29
13,Thunderbird High School,Phoenix,85023,43,"2,799",1540,35,27,22.4:1,0.63,15
14,Think Through Academy,Phoenix,85017,237,"13,261",45,N/A,N/A,N/A,32.43,N/A
15,Tech Campus,Phoenix,85017,N/A,N/A,300,5,0,N/A,30.49,0
16,Sweetwater Community School,Phoenix,85032,N/A,N/A,188,14,9,13.6:1,10.05,8
17,Sunnyslope High School,Phoenix,85021,32,"2,170",2281,34,28,22.1:1,1.11,17
18,Southwest Leadership Academy,Phoenix,85043,N/A,N/A,196,7,0,-1:1,9.5,8
19,Southwest Key Transitional Learning Center,Phoenix,85017,N/A,N/A,N/A,N/A,N/A,36.8:1,N/A,N/A
20,South Ridge High School,Phoenix,85043,80,"5,152",408,26,19,-1:1,4.97,1
21,South Pointe High School,Phoenix,85042,N/A,N/A,555,10,5,-1:1,23.54,0
22,South Mountain High School,Phoenix,85040,237,"13,261",2145,12,7,16.5:1,5,49
23,Sonoran Science Academy - Phoenix,Phoenix,85008,86,"5,360",380,21,10,-1:1,0.73,0
24,Skyline Prep High School,Phoenix,85042,N/A,N/A,201,14,6,-1:1,1.87,0
25,Shadow Mountain High School,Phoenix,85028,101,"6,178",1108,29,26,19.3:1,2.71,50
26,RSD High School,Phoenix,85029,N/A,N/A,N/A,N/A,N/A,-1:1,N/A,N/A
27,Robert L. Duffy High School,Phoenix,85017,N/A,N/A,45,N/A,N/A,N/A,11.25,0
28,Roadrunner School,Phoenix,85022,N/A,N/A,239,4,4,9.6:1,6.82,8
29,Ridgeline Academy Inc.,Phoenix,85085,N/A,N/A,1021,41,32,N/A,0.76,0
30,Pxu Digital Academy,Phoenix,85019,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
31,Pvonline,Phoenix,85032,220,"12,328",N/A,N/A,N/A,5.4:1,N/A,N/A
32,Premier Charter High School,Phoenix,85033,N/A,N/A,153,0,3,-1:1,19.3,22
33,Precision Academy,Phoenix,85035,237,"13,261",66,11,0,-1:1,17,0
34,Pinnacle High School,Phoenix,85050,27,"1,998",2480,43,32,25.7:1,1.38,18
35,Pillar Academy Online,Phoenix,85021,N/A,N/A,N/A,N/A,N/A,-1:1,29.17,0
36,Phoenix Union-Wilson College Preparatory,Phoenix,85008,N/A,N/A,218,24,18,N/A,1.25,1
37,Phoenix Union Bioscience High School,Phoenix,85004,14,359,370,48,38,15.5:1,0,0
38,Phoenix Day School for the Deaf,Phoenix,85021,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
39,Phoenix College Preparatory Academy,Phoenix,85013,81,"5,182",244,47,32,-1:1,0.77,0
40,Phoenix Coding Academy,Phoenix,85012,N/A,N/A,276,39,28,N/A,0,0
41,Pathways In Education,Phoenix,85006,N/A,N/A,153,5,4,N/A,17.13,0
42,Paradise Valley High School,Phoenix,85032,68,"4,226",1872,31,18,18.4:1,3.4,21
43,Pan-American Charter School,Phoenix,85017,152,"8,604",1123,23,11,-1:1,23.54,0
44,Paideia Liberal Arts Academy,Phoenix,85042,N/A,N/A,193,45,18,N/A,9.52,N/A
45,Ombudsman - Charter West,Phoenix,85053,N/A,N/A,118,11,0,N/A,30.45,1
46,Ombudsman - Charter East Ii,Phoenix,85018,N/A,N/A,87,8,15,-1:1,29.14,0
47,Ombudsman - Charter East,Phoenix,85018,N/A,N/A,85,0,0,-1:1,20.34,0
48,North Pointe Preparatory,Phoenix,85051,114,"6,686",435,31,14,-1:1,5.13,8
49,North High School,Phoenix,85014,158,"8,767",2135,14,10,N/A,6.51,27
50,Northeast Campus,Phoenix,85027,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
51,North Canyon High School,Phoenix,85024,173,"9,877",1842,25,12,21.9:1,2,50
