Sequence no,School name,City,Zipcode,Total students,English score % (proficient),Maths score% (proficient),Drop-out rate %,Total incidents of violence,Performance
1,152,3,85019,418.0,6.0,2.0,21.99,3.0,Low Performing
2,158,3,85028,1108.0,29.0,26.0,2.71,50.0,High Performing
3,157,3,85050,2480.0,43.0,32.0,1.38,18.0,High Performing
4,156,3,85032,1872.0,31.0,18.0,3.4,21.0,High Performing
5,155,3,85024,1842.0,25.0,12.0,2.0,50.0,Low Performing
6,153,3,85027,1640.0,25.0,17.0,3.03,50.0,High Performing
7,160,3,85033,216.0,20.0,5.0,13.4,0.0,Low Performing
8,159,3,85033,522.0,15.0,7.0,0.98,0.0,Low Performing
9,151,3,85021,1758.0,27.0,21.0,1.25,58.0,High Performing
10,150,3,85027,52.0,0.0,0.0,0.0,2.0,Low Performing
12,149,3,85033,2921.0,12.0,10.0,6.45,29.0,Low Performing
13,148,3,85023,1540.0,35.0,27.0,0.63,15.0,High Performing
15,145,3,85017,300.0,5.0,0.0,30.49,0.0,Low Performing
16,143,3,85032,188.0,14.0,9.0,10.05,8.0,Low Performing
17,142,3,85021,2281.0,34.0,28.0,1.11,17.0,High Performing
18,140,3,85043,196.0,7.0,0.0,9.5,8.0,Low Performing
20,139,3,85043,408.0,26.0,19.0,4.97,1.0,High Performing
21,138,3,85042,555.0,10.0,5.0,23.54,0.0,Low Performing
22,137,3,85040,2145.0,12.0,7.0,5.0,49.0,Low Performing
23,136,3,85008,380.0,21.0,10.0,0.73,0.0,Low Performing
24,135,3,85042,201.0,14.0,6.0,1.87,0.0,Low Performing
25,133,3,85028,1108.0,29.0,26.0,2.71,50.0,High Performing
28,125,3,85022,239.0,4.0,4.0,6.82,8.0,Low Performing
29,124,3,85085,1021.0,41.0,32.0,0.76,0.0,High Performing
32,121,3,85033,153.0,0.0,3.0,19.3,22.0,Low Performing
33,120,3,85035,66.0,11.0,0.0,17.0,0.0,Low Performing
34,119,3,85050,2480.0,43.0,32.0,1.38,18.0,High Performing
36,118,3,85008,218.0,24.0,18.0,1.25,1.0,High Performing
37,117,3,85004,370.0,48.0,38.0,0.0,0.0,High Performing
39,116,3,85013,244.0,47.0,32.0,0.77,0.0,High Performing
40,115,3,85012,276.0,39.0,28.0,0.0,0.0,High Performing
41,113,3,85006,153.0,5.0,4.0,17.13,0.0,Low Performing
42,111,3,85032,1872.0,31.0,18.0,3.4,21.0,High Performing
43,110,3,85017,1123.0,23.0,11.0,23.54,0.0,Low Performing
45,109,3,85053,118.0,11.0,0.0,30.45,1.0,Low Performing
46,108,3,85018,87.0,8.0,15.0,29.14,0.0,Low Performing
47,107,3,85018,85.0,0.0,0.0,20.34,0.0,Low Performing
48,106,3,85051,435.0,31.0,14.0,5.13,8.0,Low Performing
49,105,3,85014,2135.0,14.0,10.0,6.51,27.0,Low Performing
51,104,3,85024,1842.0,25.0,12.0,2.0,50.0,Low Performing
52,103,3,85040,313.0,23.0,7.0,3.48,5.0,Low Performing
53,100,3,85044,1713.0,35.0,21.0,3.18,84.0,High Performing
54,99,3,85029,1488.0,28.0,25.0,1.82,36.0,High Performing
56,97,3,85015,1804.0,28.0,18.0,0.28,4.0,High Performing
57,98,3,85007,250.0,49.0,21.0,0.0,4.0,High Performing
58,92,3,85033,2795.0,11.0,7.0,4.45,24.0,Low Performing
60,90,3,85014,456.0,33.0,33.0,0.0,0.0,High Performing
61,89,3,85015,277.0,3.0,0.0,17.51,2.0,Low Performing
62,88,3,85014,102.0,0.0,6.0,3.62,0.0,Low Performing
64,83,3,85006,192.0,4.0,2.0,24.08,43.0,Low Performing
65,82,3,85042,87.0,5.0,5.0,29.56,0.0,Low Performing
66,81,3,85051,393.0,4.0,0.0,20.92,15.0,Low Performing
67,78,3,85041,200.0,8.0,2.0,21.4,0.0,Low Performing
68,77,3,85022,62.0,23.0,0.0,24.43,0.0,Low Performing
69,76,3,85029,54.0,7.0,6.0,29.08,0.0,Low Performing
70,74,3,85048,697.0,43.0,31.0,0.39,3.0,High Performing
71,72,3,85043,141.0,5.0,0.0,19.82,17.0,Low Performing
72,71,3,85042,82.0,0.0,0.0,11.11,19.0,Low Performing
73,66,3,85053,1346.0,35.0,20.0,0.97,56.0,High Performing
74,61,3,85018,802.0,51.0,31.0,0.69,0.0,High Performing
75,60,3,85032,522.0,57.0,32.0,9.82,0.0,Low Performing
76,59,3,85031,1041.0,23.0,24.0,2.12,0.0,High Performing
77,57,3,85301,523.0,38.0,27.0,0.84,0.0,High Performing
78,56,3,85013,74.0,7.0,0.0,9.17,0.0,Low Performing
80,53,3,85034,333.0,25.0,22.0,0.29,0.0,High Performing
